"n_ord.x","extractn","tip_iapr_1","cluster_adm","color_admix","PC1","PC2","PC3"
50,"e057","e057_chi_Mapastepec",8,"#5E4FA2",0.0508324579353407,-0.0408744613892797,-0.00235799096825933
51,"e058","e058_chi_Mapastepec",8,"#5E4FA2",0.0328942090079846,0.0348710732728115,-0.000619457434026282
52,"e059","e059_chi_Tuzantan",8,"#5E4FA2",0.0359369490958666,0.0294837365457383,0.0170226110436044
53,"e060","e060_chi_Tuzantan",8,"#5E4FA2",0.0358224617239048,0.0245559627854878,0.00316863726370158
54,"e061","e061_chi_VillaComaltit",8,"#5E4FA2",-0.0137373995882667,0.01503106630834,-0.00288060097371753
55,"e062","e062_chi_VillaComaltit",8,"#5E4FA2",0.00929870394844308,0.00161261224566076,0.00341888829240214
56,"e063","e063_chi_Arriaga",3,"#3288BD",-0.048700277593541,0.0359188354076534,0.00427320854660836
57,"e064","e064_chi_Arriaga",3,"#3288BD",0.0444934659556102,0.0499936368917831,0.00942115732791483
58,"e065","e065_oax_BarraCruz",6,"#E6F598",0.0273923973440255,-0.0142760975999455,-0.00955734794832514
59,"e066","e066_oax_BarraCruz",6,"#E6F598",0.0510977076227369,0.00811319412777928,0.0138856693850061
60,"e067","e067_oax_StaMaPetepa",3,"#3288BD",-0.0872624979482842,0.0167507617196147,-0.00415181777020814
61,"e068","e068_oax_StaMaPetepa",3,"#3288BD",-0.0148091778477406,-0.023557582485475,0.00334120971111052
62,"e069","e069_oax_StaMaPetepa",3,"#3288BD",-0.0364982596776486,-0.0180824405654836,0.000300623199493606
63,"e071","e071_oax_SnJuanGuichic",3,"#3288BD",-0.0237319698354134,-0.00956588229370368,0.00655905784571179
64,"e072","e072_oax_SnJuanGuichic",3,"#3288BD",-0.054788593910557,0.0343169130459693,-0.00347955498402104
65,"e073","e073_oax_StaMaChimalap",3,"#3288BD",0.00277058238805187,-0.0337322995419402,-0.00424068109542822
66,"e074","e074_oax_StaMaChimalap",3,"#3288BD",0.0149500212494885,-0.0272444229890141,0.00634349815692389
67,"e075","e075_oax_StaMaChimalap",3,"#3288BD",0.0324554722773141,0.0399704265977047,0.0169048966235974
68,"e076","e076_oax_MatiasRom",3,"#3288BD",-0.0187101617879622,-0.0130291140013604,-0.00139908148597459
69,"e077","e077_ver_LomaBonit",3,"#3288BD",0.0429298120935524,0.0235389637941248,0.0064044893336355
70,"e078","e078_ver_SayulaAleman",3,"#3288BD",-0.0686372800184685,0.0155284141345626,-0.00275530479439784
71,"e079","e079_ver_SayulaAleman",3,"#3288BD",-0.0746162996245603,-0.00137135144101326,-0.0049549630683749
72,"e080","e080_ver_SayulaAleman",3,"#3288BD",0.115972375914559,-0.0248565695505104,0.00615408366914833
73,"e081","e081_ver_SnJuanEvangel",3,"#3288BD",-0.0309999060572438,0.00999331173987527,0.000176426629981892
74,"e082","e082_ver_SnJuanEvangel",3,"#3288BD",-0.0370025076677591,0.00337944571036239,-0.00497413217125829
75,"e084","e084_oax_SnMigPuerto",6,"#E6F598",0.029844613486992,-0.00597903969611749,0.0078010811501016
76,"e085","e085_ver_Hueyapan",3,"#3288BD",-0.0486229740440322,-0.0208650182484546,-0.0109882536974355
77,"e086","e086_ver_Catemaco",3,"#3288BD",-0.0729863582661047,-0.0192972188903028,-0.0077663014283368
78,"e087","e087_ver_Matalcalcin",3,"#3288BD",0.0449156751434756,0.0792966357213864,0.00171467838738995
79,"e088","e088_ver_Matalcalcin",3,"#3288BD",-0.0533037879315612,0.0107354201796232,-0.00763325229469014
80,"e089","e089_oax_Tuxtepec",10,"#ABDDA4",0.0136718034486922,-0.0159137511194082,0.00360591263133078
81,"e090","e090_oax_Tuxtepec",10,"#ABDDA4",0.0570623776709963,0.0353633055776169,0.0137515532293136
82,"e091","e091_oax_SantiagoJamilt",1,"#FEE08B",-0.0330859249685618,0.0211207950066986,-0.00125463913616126
83,"e092","e092_oax_Tuxtepec",10,"#ABDDA4",0.0414955163819124,-0.0411352468642435,0.00996803774208389
84,"e093","e093_ver_TierraBlanca",10,"#ABDDA4",-0.00431730274348525,0.00325598558488194,0.00581201381335353
85,"e094","e094_ver_TierraBlanca",10,"#ABDDA4",-0.0951168224238042,-0.0133450284770567,-0.0167853496809042
86,"e095","e095_ver_TierraBlanca",10,"#ABDDA4",-0.00907883093073913,-0.0224302108479083,-0.00125178396945713
87,"e096","e096_ver_TierraBlanca",10,"#ABDDA4",-0.0200135489171491,-0.0136964264822064,0.000655087812194265
88,"e097","e097_ver_TierraBlanca",10,"#ABDDA4",-0.00620165159462952,0.0482239801491349,0.00177552234181702
