"","n_ord","dataset","ID_dataset","decimalLatitude","decimalLongitude","retener","anio","mes","dia","stateProvince","county","locality","habitat"
"373",373,"mexu","MEXU_363573",18.18354906,-102.4941118,"si",1981,3,25,"Michoacan","Lazaro Cardenas","A 27 km al NW de Playa Azul",""
"374",374,"mexu","MEXU_363906",17.65193095,-101.5676701,"si",1979,3,28,"Guerrero","Zihuatanejo de Azueta","En Zihuatanejo en la torre transmisora de TV.",""
"375",375,"mexu","MEXU_379895",16.31192994,-98.03296729,"si",1983,1,29,"Oaxaca","Santiago Pinotepa Nacional","Santa Maria, al SE de Pinotepa Nacional",""
"379",379,"varios_herbs","25878",21.96049621,-104.9354493,"si",1895,2,1,"Nayarit","Tepic","Zopelote",""
"386",386,"varios_herbs","1975714",17.95,-95.16667,"si",1981,12,6,"Veracruz","San Juan Evangelista","Vic. La Lima, just W of Rio Juan and north of Sayula-Tierra Blanca highway","selva alta perennifolia, brushy roadsides and pastures"
"387",387,"idigbio","173880",18.63689745,-103.4041362,"si",1941,3,16,"Michoacan","Coalcoman","Huizontla 400m"," woods, flowers yellow"
"388",388,"idigbio","3729575",18.190278,-96.096944,"si",1969,8,4,"Veracruz","Ciudad Aleman","Cosamaloapan","acahual, bejuco, suelo profundo arcilloso, con abundancia regular, anual, amarilla"
"389",389,"idigbio","1890847",17.20569684,-100.4331379,"si",1937,12,3,"Guerrero","Galeana","Atoyac 100m","wooded hill, vine, flowers yellow"
"392",392,"idigbio","1035236",24.06456207,-106.6422205,"si",1918,5,8,"Sinaloa","San Ignacio","Arroyo del agua caliente","large vine, climbing, over trees"
"393",393,"idigbio","1978419",18.63689745,-103.4041362,"si",1941,11,25,"Michoacan","Coalcoman","Ostula","en barranca, vine, flowers yellow"
"395",395,"idigbio","1890999",18.59819455,-103.5038494,"si",1938,11,19,"Michoacan","Coalcoman","Aquila 220m","woods, vine, flowers yellow, very scarce"
"396",396,"idigbio","1890924",17.98301542,-101.6146148,"si",1937,12,10,"Guerrero","Montes de Oca","Vallecitos","on a tree, vine flowers yellow"
"397",397,"idigbio","1842912",15.87412794,-96.43966175,"si",1937,2,24,"Oaxaca","Pochutla","Vicinity of Concordia",""
"400",400,"idigbio","1299511",18.61969204,-103.6783914,"si",1965,3,15,"Michoacan","","Steep hills overlooking the Pacific Ocean, 3-6km southeast of San Juan de Lima, nearly south of Coahuayana","deciduous forest with Bursera, Ceiba, Ipomoea, abundatn locally on roadside, herbaceous vine 2-4m ong, flowers yellow"
"401",401,"idigbio","1299513",18.08486835,-102.2999223,"si",1965,2,26,"Michoacan","","Steep hills about 45-48km south of Arteaga, 12-15km north of Playa Azul","deciduous forest on ridges, subdeciduous in ravines, with Trichilia, Hura, Jacaratia, Bursera simaruba, Tabebuia, Brosimum, abundant in thickets, herbaceous wine to 5-6m long, flowers yellow"
"402",402,"idigbio","1299514",21.12412646,-105.1681588,"si",1965,4,11,"Nayarit","","Steep hills, deciduous forest now nearly leafless, 6-12km northeast of Miramar, road to Jalcocotan","abundant, also near Miramar, near sea-level, woody vine 2-5m long. flowers bright yellow"
"403",403,"idigbio","1299515",23.20366416,-106.2001621,"si",1962,1,30,"Sinaloa","Rosario","13.7 mi E of Rio Concordia at Concordia on Mexico 40","flowers yellow, vine climbing over shrubs on heavily wooded ravine"
"404",404,"idigbio","1299516",18.53851864,-96.73882199,"si",1944,3,9,"Veracruz","","Along the roadside between Rancho de Mecayantla and Ejido de Pueblo nuevo 1 to 4 km northeast of Campo Experimental de Hule","herbaceous vine, flowers yellow"
"405",405,"idigbio","1299519",24.37399565,-107.0968329,"si",1941,2,12,"Sinaloa","Capadero","Sierra Tacuichamona","flowers yellow, with palm and Arundinaria, damo shady canyon bottom under trees, oak forest and grassland"
"410",410,"idigbio","TEX00242793",16.8724,-99.903,"si",1971,2,23,"Guerrero","Pie de la cuesta","16 km NW de Acapulco",""
"415",415,"idigbio","48379",25.5269444,-108.9072222,"si",1981,3,2,"Sinaloa","San Ignacio","La Cebolla, aprox 44 km al N de San Ignacio","hierba voluble, flor amarilla"
"416",416,"idigbio","TEX00242785",17.79,94.1,"si",1980,3,12,"Veracruz","Ciudad Aleman","3 km S of Ciudad Aleman",""
"423",423,"idigbio","TEX00451549",18.063899,-102.323588,"si",2006,12,13,"Michoacan","Lazaro Cardenas","aprox 4.5km de La Mira, sobre la carretera a Arteaga","laderas con bosque tropical caducifolio, a orilla de carretera"
"427",427,"idigbio","38358",15.7537222,-96.1465556,"si",2005,2,15,"Oaxaca","Santa Maria Huatulco","camino viejo a Santa Maria Huatulco 2km en linea recta de Santa Cruz Huatulco","bejuco flor amarilla"
"435",435,"idigbio","162114",15.8191667,-95.9858333,"si",2000,3,8,"Oaxaca","Santiago Astata","barra de la cruz 3km al SW, 1 km al N de Playa Zimatan, Tehuantepec",""
